   i      x      y
 533  0.333  1.286
 534  0.334  1.289
 535  0.334  1.291
 536  0.335  1.293
 537  0.336  1.295
 538  0.336  1.298
 539  0.337  1.300
 540  0.338  1.302
 541  0.338  1.304
 542  0.339  1.307
 543  0.339  1.309
 544  0.340  1.311
 545  0.341  1.313
 546  0.341  1.316
 547  0.342  1.318
 548  0.343  1.320
 549  0.343  1.322
 550  0.344  1.325
 551  0.344  1.327
 552  0.345  1.329
 553  0.346  1.331
 554  0.346  1.333
 555  0.347  1.336
 556  0.348  1.338
 557  0.348  1.340
 558  0.349  1.342
 559  0.349  1.345
 560  0.350  1.347
 561  0.351  1.349
 562  0.351  1.351
 563  0.352  1.354
 564  0.352  1.356
 565  0.353  1.358
 566  0.354  1.360
 567  0.354  1.362
 568  0.355  1.365
 569  0.356  1.367
 570  0.356  1.369
 571  0.357  1.371
 572  0.357  1.374
 573  0.358  1.376
 574  0.359  1.378
 575  0.359  1.380
 576  0.360  1.382
 577  0.361  1.385
 578  0.361  1.387
 579  0.362  1.389
 580  0.362  1.391
 581  0.363  1.393
 582  0.364  1.396
 583  0.364  1.398
 584  0.365  1.400
 585  0.366  1.402
 586  0.366  1.404
 587  0.367  1.407
 588  0.367  1.409
 589  0.368  1.411
 590  0.369  1.413
 591  0.369  1.415
 592  0.370  1.418
 593  0.371  1.420
 594  0.371  1.422
 595  0.372  1.424
 596  0.372  1.426
 597  0.373  1.429
 598  0.374  1.431
 599  0.374  1.433
 600  0.375  1.435
 601  0.376  1.437
 602  0.376  1.440
 603  0.377  1.442
 604  0.378  1.444
 605  0.378  1.446
 606  0.379  1.448
 607  0.379  1.451
 608  0.380  1.453
 609  0.381  1.455
 610  0.381  1.457
 611  0.382  1.459
 612  0.383  1.461
 613  0.383  1.464
 614  0.384  1.466
 615  0.384  1.468
 616  0.385  1.470
 617  0.386  1.472
 618  0.386  1.475
 619  0.387  1.477
 620  0.388  1.479
 621  0.388  1.481
 622  0.389  1.483
 623  0.389  1.485
 624  0.390  1.488
 625  0.391  1.490
 626  0.391  1.492
 627  0.392  1.494
 628  0.393  1.496
 629  0.393  1.498
 630  0.394  1.501
 631  0.394  1.503
 632  0.395  1.505
 633  0.396  1.507
 634  0.396  1.509
 635  0.397  1.511
 636  0.398  1.514
 637  0.398  1.516
 638  0.399  1.518
 639  0.399  1.520
 640  0.400  1.522
 641  0.401  1.524
 642  0.401  1.527
 643  0.402  1.529
 644  0.403  1.531
 645  0.403  1.533
 646  0.404  1.535
 647  0.404  1.537
 648  0.405  1.539
 649  0.406  1.542
 650  0.406  1.544
 651  0.407  1.546
 652  0.408  1.548
 653  0.408  1.550
 654  0.409  1.552
 655  0.409  1.554
 656  0.410  1.557
 657  0.411  1.559
 658  0.411  1.561
 659  0.412  1.563
 660  0.413  1.565
 661  0.413  1.567
 662  0.414  1.569
 663  0.414  1.572
 664  0.415  1.574
 665  0.416  1.576
 666  0.416  1.578
 667  0.417  1.580
 668  0.417  1.582
 669  0.418  1.584
 670  0.419  1.586
 671  0.419  1.589
 672  0.420  1.591
 673  0.421  1.593
 674  0.421  1.595
 675  0.422  1.597
 676  0.422  1.599
 677  0.423  1.601
 678  0.424  1.603
 679  0.424  1.606
 680  0.425  1.608
 681  0.426  1.610
 682  0.426  1.612
 683  0.427  1.614
 684  0.427  1.616
 685  0.428  1.618
 686  0.429  1.620
 687  0.429  1.622
 688  0.430  1.625
 689  0.431  1.627
 690  0.431  1.629
 691  0.432  1.631
 692  0.432  1.633
 693  0.433  1.635
 694  0.434  1.637
 695  0.434  1.639
 696  0.435  1.641
 697  0.436  1.644
 698  0.436  1.646
 699  0.437  1.648
 700  0.438  1.650
 701  0.438  1.652
 702  0.439  1.654
 703  0.439  1.656
 704  0.440  1.658
 705  0.441  1.660
 706  0.441  1.662
 707  0.442  1.665
 708  0.443  1.667
 709  0.443  1.669
 710  0.444  1.671
 711  0.444  1.673
 712  0.445  1.675
 713  0.446  1.677
 714  0.446  1.679
 715  0.447  1.681
 716  0.448  1.683
 717  0.448  1.685
 718  0.449  1.687
 719  0.449  1.690
 720  0.450  1.692
 721  0.451  1.694
 722  0.451  1.696
 723  0.452  1.698
 724  0.453  1.700
 725  0.453  1.702
 726  0.454  1.704
 727  0.454  1.706
 728  0.455  1.708
 729  0.456  1.710
 730  0.456  1.712
 731  0.457  1.714
 732  0.458  1.717
 733  0.458  1.719
 734  0.459  1.721
 735  0.459  1.723
 736  0.460  1.725
 737  0.461  1.727
 738  0.461  1.729
 739  0.462  1.731
 740  0.463  1.733
 741  0.463  1.735
 742  0.464  1.737
 743  0.464  1.739
 744  0.465  1.741
 745  0.466  1.743
 746  0.466  1.745
 747  0.467  1.747
 748  0.468  1.749
 749  0.468  1.752
 750  0.469  1.754
 751  0.469  1.756
 752  0.470  1.758
 753  0.471  1.760
 754  0.471  1.762
 755  0.472  1.764
 756  0.473  1.766
 757  0.473  1.768
 758  0.474  1.770
 759  0.474  1.772
 760  0.475  1.774
 761  0.476  1.776
 762  0.476  1.778
 763  0.477  1.780
 764  0.478  1.782
 765  0.478  1.784
 766  0.479  1.786
 767  0.479  1.788
 768  0.480  1.790
 769  0.481  1.792
 770  0.481  1.794
 771  0.482  1.796
 772  0.482  1.798
 773  0.483  1.800
 774  0.484  1.802
 775  0.484  1.805
 776  0.485  1.807
 777  0.486  1.809
 778  0.486  1.811
 779  0.487  1.813
 780  0.487  1.815
 781  0.488  1.817
 782  0.489  1.819
 783  0.489  1.821
 784  0.490  1.823
 785  0.491  1.825
 786  0.491  1.827
 787  0.492  1.829
 788  0.492  1.831
 789  0.493  1.833
