  i      x      y
704  1.880  0.632
705  1.881  0.632
706  1.883  0.633
707  1.884  0.634
708  1.885  0.634
709  1.886  0.635
710  1.888  0.636
711  1.889  0.636
712  1.890  0.637
713  1.891  0.638
714  1.893  0.638
715  1.894  0.639
716  1.895  0.640
717  1.896  0.640
718  1.897  0.641
719  1.899  0.641
720  1.900  0.642
721  1.901  0.643
722  1.902  0.643
723  1.904  0.644
724  1.905  0.645
725  1.906  0.645
726  1.907  0.646
727  1.909  0.647
728  1.910  0.647
729  1.911  0.648
730  1.913  0.649
731  1.914  0.649
732  1.915  0.650
733  1.916  0.651
734  1.917  0.651
735  1.919  0.652
736  1.920  0.653
737  1.921  0.653
738  1.922  0.654
739  1.924  0.655
740  1.925  0.655
741  1.926  0.656
742  1.927  0.657
743  1.929  0.657
744  1.930  0.658
745  1.931  0.658
746  1.933  0.659
747  1.934  0.660
748  1.935  0.660
749  1.936  0.661
750  1.938  0.662
751  1.939  0.662
752  1.940  0.663
753  1.941  0.664
754  1.942  0.664
755  1.944  0.665
756  1.945  0.666
757  1.946  0.666
758  1.948  0.667
759  1.949  0.667
760  1.950  0.668
761  1.951  0.669
762  1.953  0.669
763  1.954  0.670
764  1.955  0.671
765  1.956  0.671
766  1.958  0.672
767  1.959  0.673
768  1.960  0.673
769  1.961  0.674
770  1.962  0.675
771  1.964  0.675
772  1.965  0.676
773  1.966  0.676
774  1.968  0.677
775  1.969  0.678
776  1.970  0.678
777  1.971  0.679
778  1.973  0.680
779  1.974  0.680
780  1.975  0.681
781  1.976  0.682
782  1.978  0.682
783  1.979  0.683
784  1.980  0.683
785  1.981  0.684
786  1.982  0.685
787  1.984  0.685
788  1.985  0.686
789  1.986  0.687
790  1.988  0.687
791  1.989  0.688
792  1.990  0.688
793  1.991  0.689
794  1.993  0.690
795  1.994  0.690
796  1.995  0.691
797  1.996  0.692
798  1.998  0.692
799  1.999  0.693
800  2.000  0.693
